stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,0,0,4.28,0,0,0,0,0,0,0,0,0,0,3.21,1.07,1.07,4.28,0,1.07,0,1.07,0
21Day,1.34,1.34,13.39,0,2.68,0,0,0,2.68,0,0,4.02,0,8.03,0,0,17.4,0,0,1.34,0,0
3Month,0,0,0,0,0,0.32,0.64,0.32,0,0.96,0,0.32,0,0,0,0.32,0,1.28,0,0,0.32,0.32
22Month,0,0,0,0.55,0,1.09,4.92,0,0,0,0.55,0,1.09,0,0,2.19,0,0.55,0,0,0,0
