stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,192.06,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,0,2.14,0,0,0,0,0,0,0,1.07,1.07,0,8.56,0,0,0,0,63.12,84.51,0,0,0,3.21,0,0,9.63,3.21,4.28,4.28,0,0,0
21Day,6.69,0,1.34,1.34,13.39,1.34,0,0,1.34,0,2.68,0,0,0,0,2.68,0,0,0,0,46.85,58.9,1.34,0,0,4.02,0,0,2.68,5.35,5.35,1.34,0,0,0
3Month,0,0.32,3.84,0,0,0,0.96,0.32,87.99,3.84,0.32,4.48,0.64,1.28,2.24,4.16,0.96,0,0.64,1.28,4.16,2.88,1.28,1.6,0,0.64,1.92,78.71,0.64,0,0,0.32,2.56,39.67,1.92
22Month,0.55,1.09,3.83,0,0,0,1.64,27.33,311.05,2.19,0.55,2.73,0,0,8.75,7.65,0,8.75,1.64,0.55,0.55,2.19,0,3.83,1.09,0.55,0,4.92,11.48,1.64,0,1.09,0.55,0,1.64
