stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.32,4.48,0,0,0.32,0.64,0,142.06,10.24,0,3.2,0,0.64,0.64,1.92,0.32,0,0,0,0.32,0,0,0,2.56,2.88,0.32,0.32,0.32,0.32
22Month,1.09,4.37,2.73,4.37,0,5.47,1.64,4.37,1.64,1682.6,3.28,0.55,7.65,1.09,2.19,3.28,4.92,0,37.72,2.19,0.55,1.09,2.19,1.09,0.55,2.19,0.55,0,0,0,1.64
