stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,4.28,1.07,3.21,0,1.07,0,0,0,0,0,0,3.21,5.35,1.07,11.77,1.07,0,33.16,31.02,0,0,9.63,0,6.42,0,0,1.07,0,0
21Day,5.35,0,12.05,0,2.68,0,2.68,0,0,0,0,2.68,0,0,2.68,0,16.06,0,1.34,6.69,6.69,0,1.34,5.35,0,1.34,0,1.34,0,0,0
3Month,0,0.96,0.64,0,0,0,0,0.96,0,0.64,0.32,0,0.32,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0.96,0,0,0,0,0.64,0.32
22Month,0,1.09,5.47,0,0,1.09,1.64,2.19,2.19,13.12,0,2.19,2.19,0,1.09,2.19,4.37,1.64,1.09,0.55,0,0.55,0.55,0,0,0.55,0.55,0,0,0.55,2.19
