stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,32.69,0,0,0
72hpf,1.07,1.07,2.14,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,1.07,4.28,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,1.34,0,0,2.68,0,0,0
3Month,0,0,0.96,0,0,0,0,1.92,0.32,0,0.32,0,0.32,0,0.64,0.32,0.32,0,0,0,0,0,0.32,0.32
22Month,0,0,1.64,0,1.09,1.64,2.19,51.93,0,0.55,4.37,0.55,0,1.64,5.47,0.55,6.56,0,0.55,0,0,0.55,0,2.19
