stage,Cardiomyocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,12.26,4.09,81.73,0
72hpf,1.07,0,2.14,13.91,19.26,1.07
21Day,0,0,0,1.34,0,0
