stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.67,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0,0,0
21Day,2.68,0,0,4.02,2.68,0,0,0,0,0,2.68,0,0,0,2.68,0,2.68,0,0,4.02,2.68,1.34,120.47,0,0,0
3Month,0,0,0,0.96,0,0.32,0.32,0.32,0,9.6,2.24,0.32,0.64,0.32,0.64,5.12,0.96,1.28,0.64,0,0,0,49.27,0.96,0.96,1.28
22Month,0,1.64,0.55,4.92,0,0.55,0,2.19,49.75,21.32,1.64,1.64,1.09,0,0,2.19,1.64,0,0,0.55,0,0,10.39,1.64,0,2.19
