stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,3.21,0,0,0,81.3,5.35,2.14,1.07,0,40.65,0,33.16,6.42,3.21,0,0,0,3.21,1.07,0,0,0,0,0,2.14,0,0,0
21Day,2.68,2.68,22.76,13.39,18.74,0,2.68,0,2.68,0,0,168.66,1.34,2.68,33.46,0,4.02,2.68,18.74,0,0,4.02,18.74,18.74,2.68,1.34,0,0,5.35,9.37,0,0,1.34,1.34,4.02,44.17,0,0,6.69
3Month,2.24,5.12,41.91,101.1,0,29.44,0.64,0.32,60.79,23.04,0.32,6140.79,29.12,1.92,596.39,13.76,37.11,12.8,42.23,6.08,3.2,8.32,326.67,6.72,0,6.72,8,0,2.56,41.27,0.32,21.44,1.6,0,0,0.32,14.08,10.56,25.28
22Month,3.28,34.44,51.39,65.6,0,38.27,0.55,0,45.92,37.72,16.95,14837.85,18.59,6.56,492.54,6.01,6.01,47.01,51.39,4.37,136.12,16.95,47.01,3.83,0.55,6.01,15.31,9.29,1.09,29.52,0,11.48,4.92,2.19,0,0.55,2.19,0.55,31.71
