stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,2.14,0,0,0
21Day,5.35,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0
3Month,0,0.96,0.96,0,0.96,1.6,0.32,0.32,0,0,0.32,1.92,0,0.64,0.32,0,0,0.32,0,0.64,0,0.32
22Month,0,0,0,0.55,0,6.01,0.55,1.64,0.55,0.55,0,0,1.09,0,0,0,0,0,0,0,0.55,0
