stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,0,0,12.26,490.37,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,14.98,4.28,21.4,2.14,12.84,0,0,0,0,0,0,0,2.14,19.26,0,47.07,1.07,0,1328.68,111.26,0,8.56,0,21.4,0,0,25.67,0,3.21,2.14,0,0,0
21Day,9.37,0,36.14,1.34,18.74,0,0,0,4.02,0,5.35,1.34,2.68,4.02,5.35,45.51,64.25,0,827.21,62.91,1.34,1.34,0,33.46,21.42,1.34,10.71,0,9.37,1.34,0,0,1.34
3Month,0,0.64,4.8,0,0,0.32,0.32,0,4.8,0.96,0,0.64,0.64,1.92,0.64,3.52,0,0.64,1.28,0.64,0,0.96,0,0.32,0.64,23.36,0,0.32,0,0,0.32,13.76,0
22Month,0,1.09,1.64,0,0,0,2.73,3.83,20.23,0.55,0.55,2.73,0,0.55,0.55,2.73,0.55,0,0.55,0,0.55,0,0.55,0.55,0,5.47,0,0,0,0,0,0,0
