stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
72hpf,0,0,0,0,0,0,35.3,1.07,0,0
21Day,0,0,0,0,0,0,14.72,2.68,1.34,1.34
3Month,0.32,0,0.32,0,0,0.32,0,0,0,0
22Month,0,0.55,0,0.55,3.28,0,0,0,0,0
