stage,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,1.07,1.07,0,1.07,0,0
21Day,0,0,2.68,0,0,1.34
3Month,0,0,0,0,0.96,0
