stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,16.35,16.35,61.3,0,0,0,0,4.09,0,0,4.09,0,24.52,69.47,12.26,359.6,20.43,0,0,0
72hpf,1.07,0,1.07,1.07,1.07,0,0,0,0,0,0,3.21,0,8.56,6.42,12.84,2.14,0,0,0
21Day,2.68,0,2.68,0,12.05,4.02,0,0,0,2.68,0,0,0,2.68,0,12.05,0,0,0,0
3Month,0,0,1.92,0,0,0.32,0.64,0,6.72,0.32,0,0,0.32,0.64,0,0,0,3.2,0.64,0.32
22Month,0,0,0,0,0,0,0.55,0,3.28,0,0,0,0.55,0,0,0,0,0,0,0
