stage,Cardiomyocyte,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,4.09,0,0,4.09,4.09,8.17,0,0
72hpf,0,0,0,0,0,1.07,0,1.07
22Month,0,0.55,0.55,0,0,0,0.55,0
