stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,16.35,20.43,0,0,0,0,12.26,130.76,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,0,6.42,2.14,4.28,0,1.07,0,1.07,0,0,0,0,2.14,0,1.07,21.4,3.21,22.47,0,0,0,0,112.33,19.26,1.07,2.14,13.91,0,0,7.49,2.14,0,0,0,0
21Day,1.34,1.34,0,4.02,0,2.68,0,0,0,0,0,0,0,0,2.68,1.34,0,1.34,2.68,9.37,0,0,2.68,0,13.39,1.34,0,2.68,0,0,0,2.68,4.02,1.34,0,0,5.35
3Month,0.64,2.88,0.32,29.12,0,0,0.64,0.32,4.48,10.56,0,0,22.08,10.56,1.6,11.2,2.56,12.48,8.96,11.2,1.92,0,3.52,0.96,3.52,0.96,2.24,1.6,0,0.96,4.8,0.32,0.32,0,4.48,53.11,8.64
22Month,0,3.83,1.64,9.29,0,0,1.09,0,2.73,16.95,2.73,0,30.61,6.56,1.64,7.11,0,2.73,5.47,6.56,0.55,1.64,2.19,0.55,3.28,0.55,3.28,1.64,0.55,0.55,1.09,2.19,1.09,0,0,0.55,7.11
