stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,53.12,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,12.84,12.84,0,0,1.07,0,0,1.07,5.35,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,1.34,0,0,0,0,0,4.02,5.35,0,0,2.68,0,1.34,4.02,8.03,0,0,0
3Month,0.64,3.84,0.32,0,0.32,0.32,1.6,0.64,1.6,0.64,0.96,1.28,0,19.52,0.32,0,0.96,0.32,0,0.32,13.76,0,2.56,0.32,2.88,0.96
22Month,0,0.55,0,0,0,1.09,7.11,0,0,0,0,0,0.55,1.09,0,0,0.55,0,0,0,2.19,2.19,0,0,0,0.55
