stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
72hpf,2.14,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,0
21Day,49.53,0,2.68,4.02,0,0,1.34,1.34,18.74,0,4.02,13.39,2.68,0,4.02,1.34,1.34
3Month,0,0.32,0,0,0.32,2.56,0,0,4.8,3.52,0,0,0,0.32,0,0,0
22Month,0,0,0.55,0,0,14.76,0,1.09,6.01,0.55,0,0,0,0.55,0,0,0.55
