stage,Epithelial_cell__Brain_,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,4.09,8.17,12.26,0
72hpf,6.42,1.07,0,0,0,1.07
21Day,10.71,2.68,0,0,0,0
22Month,0.55,0,0,0,0,0
