stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,39.58,4.28,0,1.07,0,0,0,0,4.28,6.42,0,0,0,1.07,0,2.14,0,0,0,0
21Day,0,0,1.34,5.35,0,0,0,0,0,0,0,0,0,0,49.53,0,0,0,4.02,0,1.34,1.34,0,0,2.68,4.02,0,0,5.35,0,6.69,0,0,0,1.34
3Month,0.32,0.64,5.44,16.32,0,1.92,0.32,0.32,5.76,3.52,0,14.72,4.16,0.32,424.25,1.6,2.24,1.6,2.88,0.96,0,0.32,2.24,0,0,29.44,0,0,0,2.56,98.54,0.32,1.92,61.75,3.84
22Month,0,0,24.6,6.01,0.55,0.55,0,0,11.48,5.47,1.64,191.88,1.64,0.55,431.31,0.55,1.09,2.19,4.37,2.73,4.37,1.09,0.55,0.55,0.55,41,1.64,19.68,2.19,0.55,49.75,0.55,0.55,0,1.09
