stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Osteoblast
72hpf,1.07,0,0,1.07,4.28,2.14,0
21Day,2.68,0,1.34,0,2.68,0,1.34
3Month,1.92,0.32,0.64,0,0.32,0,0
