stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,2.14,0,0,2.14,0,0
3Month,2.24,0.32,0.32,0.96,0.32,0,0.64,0.32,0,0.32,0.32
