stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,1.07,4.28,0,0,0,0,1.07,0,2.14,1.07,0,0,2.14,1.07,0,0,1.07,0,0
21Day,2.68,0,0,0,0,0,0,13.39,0,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0,0,0.64,0,0.64,0,3.52,0.32,0,0.32,0.32,0,0,0.32,2.88,0,0.64,0.32
22Month,0,0,0.55,4.37,0.55,0,0,0,0.55,0.55,0,0,0,0,0,0.55,0,0,0
