stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,9.63,0,0,0,3.21,3.21,0,0,10.7,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,6.69,10.71,0,1.34,1.34,13.39,1.34,0,1.34,5.35,0,2.68,0,2.68,5.35,0,0,0
3Month,2.56,7.36,3.52,0.32,0,0.64,0.32,1.92,7.04,0.96,0.32,2.56,1.28,0.96,3.2,7.68,0.96,0.64,0.96,1.6,0,0.64,0,3.52,1.28,110.38,2.24,0.32,0.64,0.96,43.51,0.64
22Month,2.19,3.28,0,0,0,0,0.55,0.55,2.19,0,0,0.55,0.55,0,2.19,6.01,0,0,0,0.55,0,0,0,1.64,0,57.4,1.64,2.19,0,0,0.55,0
