stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0
3Month,0,2.24,0.32,0.32,0,0,0,0,0,0.32
22Month,0.55,0,0,5.47,0.55,0,0,0.55,0.55,0
