stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,2.14,3.21,4.28,0,0,0,0,0,0,0,0,1.07,7.49,2.14,3.21,0,1.07,489.96,48.14,3.21,0,10.7,0,0,7.49,1.07,0,1.07,0,0,0
21Day,0,1.34,0,5.35,0,0,0,0,0,1.34,1.34,1.34,0,0,1.34,10.71,0,0,222.2,13.39,0,1.34,0,1.34,1.34,8.03,1.34,4.02,0,0,0,1.34
3Month,0,0.32,4.48,0,0.32,0.96,1.28,0,5.44,1.28,0,10.88,0.64,0.96,0.96,2.88,0.64,0,9.28,0.32,5.12,0.32,0.32,0.96,31.67,0.32,0,0,0,0.32,43.51,0
22Month,0,0,4.37,0,0,1.09,1.64,1.09,17.49,0.55,0,5.47,4.92,0,2.19,2.73,0,0.55,6.01,0.55,2.73,0,0,0,31.16,0.55,0,0,0,0,0,0.55
