stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,7.49,0,1.07,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,2.14,0,0,0
21Day,8.03,1.34,10.71,2.68,0,0,0,0,0,9.37,0,0,0,13.39,4.02,0,0,1.34,2.68,1.34,0,0,0,0,2.68,1.34,0,0,0,9.37
3Month,9.28,0.32,5.12,0,16.96,1.6,0,9.28,2.56,0,2.88,0.64,1.6,53.11,0.64,0.64,0,0,0,0.32,0,0,0,0.64,0,33.59,0,1.6,4.8,1.6
22Month,9.29,8.2,9.29,0.55,18.59,1.09,1.64,44.28,0.55,1.64,3.83,0,0,8.2,2.73,0,2.19,0.55,1.64,0,1.09,0.55,2.19,0,0.55,39.91,0,2.19,0,6.01
