stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,3.21,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,9.37,0,0,1.34,0,2.68,0,1.34,0,0,0,0,2.68,4.02,0,0,0,0,2.68,0,0,0,0,0
3Month,0.64,0.64,7.36,12.48,0,0.64,3.2,2.24,0,388.42,5.44,0,102.7,2.88,2.88,2.24,3.52,0.64,0.64,0.32,0.96,0.96,0,1.28,0,0,0.64,8,1.28,0,0,0.96,2.56
22Month,0.55,1.09,12.57,8.2,0.55,4.37,8.2,6.01,14.76,1379.76,1.64,1.09,92.38,1.64,1.64,1.64,3.83,0,13.12,1.64,0,0,0,2.19,1.09,0.55,0,2.19,0,1.09,0.55,0,2.19
