stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,0,0,0,0,0,1.07,0,2.14,0,12.84,2.14,1.07,5.35
21Day,0,0,1.34,0,0,2.68,0,1.34,1.34,12.05,0,0,5.35
3Month,0,0.32,0,0,0,0,0,2.88,0.32,0,0,0,0
22Month,1.09,0,0,0.55,1.09,0,0.55,1.64,0,0,0,0,0
