stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,0,1.34,0,0,0,0,0,0,0,0,2.68,5.35,1.34,0,0,0,4.02,1.34,2.68,0,2.68,1.34,0,0,0,0,0,0
3Month,0,0,0.32,0.96,0,0.32,0,0.32,0.32,0,0.96,0,0,0.96,0,0.32,4.48,0,0,0,0.32,0,0,0.32,0,0,0,0.96,0,0,0.64,1.28,0.96
22Month,0,0.55,1.64,3.28,0.55,1.64,0.55,0.55,10.39,1.64,71.61,3.83,1.64,7.11,0.55,1.09,43.19,9.84,3.83,2.19,0,1.09,0,2.73,1.09,0.55,0,1.09,1.09,0.55,0.55,0,4.92
