stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,4.09,0,0
72hpf,0,0,1.07,0,4.28,0,0,0
21Day,1.34,1.34,0,1.34,4.02,0,2.68,1.34
