stage,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,4.09,0,0,12.26
72hpf,0,0,0,0,0,2.14,0,0,1.07,1.07
21Day,1.34,0,0,0,0,0,0,1.34,1.34,0
22Month,0,0.55,0.55,0.55,3.28,0,0,0,0,0.55
