stage,Endothelial_cell,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,3.21,0,0,2.14,4.28,0,102.7,11.77,0,0,1.07,3.21,2.14,0
21Day,0,1.34,1.34,0,9.37,1.34,66.93,2.68,2.68,4.02,0,16.06,17.4,1.34
