stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,1.34,0
3Month,0,0.32,0,0,0.32,1.28,0,0.64,0,0.64,0,0,0,0,0,0.32
22Month,0.55,0.55,0,0.55,0,6.01,0.55,0,0.55,0,0.55,0,0,0,0,0
