stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,143.02,257.44,1601.87,0,8.17,0,0,173545.52,0,0,16.35,85.81,474.02,200.23,478.11,4.09,657.91,7461.77,61.3,0,0,4.09
72hpf,11.77,0,395.82,8.56,4.28,8.56,0,160.47,0,0,0,1.07,22.47,1.07,16.05,0,51.35,21.4,13.91,0,3.21,0
21Day,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,0,4.02,2.68,0,0,0,0
3Month,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0.64,0,0,0,0,0,0,0
22Month,0,0,1.64,0.55,0,0,1.09,0,6.56,0.55,0.55,0,1.09,0.55,0,0,0,0,0,0.55,0,0
