stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0,3.2,9.6,0.32,0.32,8.64,0.96,8.96,2.56,0,182.37,0.32,1.92,2.88,1.6,0,1.6,1.6,0,0.32,0.64,0.64,1.6,0,0.64,0.32,1.6
22Month,0.55,2.19,10.39,1.09,0,12.03,1.09,101.68,0,0.55,174.38,0.55,0,3.83,1.64,1.09,1.64,0.55,0,1.64,0.55,1.09,1.64,0,0,0,2.73
