stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,0.96,0.32,0.32,0.32,0.32,0,0.32,8.64,6.08
22Month,0,0.55,2.73,0,0,0,0,0,0.55,0
