stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,20.43,0,0,81.73,674.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,18.19,5.35,0,13.91,7.49,12.84,0,0,0,0,0,0,1.07,0,4.28,28.88,2.14,18.19,2.14,2.14,3186.91,484.62,0,5.35,42.79,0,0,29.95,5.35,1.07,0,0,0,0
21Day,8.03,0,1.34,10.71,2.68,26.77,0,0,0,1.34,0,1.34,2.68,1.34,1.34,14.72,2.68,22.76,0,0,596.99,128.5,1.34,9.37,10.71,21.42,0,1.34,4.02,10.71,1.34,1.34,0,4.02
3Month,0,3.2,0.64,3.84,0,0,0.32,0,0.32,1.6,10.56,1.6,0,0.96,0,0.96,1.92,5.76,0,0.32,0.96,0,0,1.6,0,0.96,8.96,0,0,0,0,0.32,2.56,0.64
22Month,0,2.19,0,1.64,0,0,0.55,0.55,0.55,1.64,32.8,0,1.64,3.28,0.55,0,2.73,3.83,1.64,1.64,0.55,0.55,0,7.65,0,0,1.64,0,0,0,0,0,0,0.55
