stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,2.14,0
21Day,2.68,0,0,0,0,1.34,0,1.34,4.02
3Month,0.32,0,0,0,0.32,0.32,0,0,0
22Month,0.55,0.55,10.39,0.55,0,0,1.09,0,0
