stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
3Month,0.96,0.32,2.24,0.96,0.64,0.32,0.64,0.64,0.32,0.64,0,0.96,21.44,0.32,39.03
22Month,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0
