stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,0,0,1.07,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,1.34,0,0,4.02,1.34,0,2.68,0,1.34
3Month,0,0,0,0.96,0.32,0,0.32,0.32,0.32,0,0,0,0.32,0,0,0,0,1.92,0
22Month,0.55,0.55,0,5.47,1.09,0.55,0,0,0.55,2.19,0.55,0.55,0.55,0,0,0.55,0,0.55,0
