stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,51.35,10.7,2.14,0,3.21,1.07,0,1.07,5.35,6.42,0,0,0
21Day,0,0,0,9.37,0,0,0,1.34,0,0,0,4.02,0,0,0,0,4.02,0,0,0,0,8.03,5.35,0,1.34,0,1.34,6.69,0,4.02,10.71,0,0,0
3Month,0,0.64,0.96,14.4,0,0,2.24,1.28,0.32,11.2,0.96,0,8.32,0.96,6.4,3.52,5.76,0.32,0,0.32,2.24,2.24,0,2.24,0.64,0,0.96,203.49,0.32,0,0,2.56,76.79,1.28
22Month,0,0.55,0,7.65,0,0.55,0,0.55,1.64,22.41,0,0,8.75,0,2.19,0.55,2.19,0,3.28,0,0,0,0,2.73,0.55,0,0,60.13,0,0.55,0,0,0,1.09
