stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,4.02,0,0,0,0,0,0,4.02,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,56.95,0.64,0.64,3.52,0.64,2.88,0.64,4.16,0.32,0.96,0.32,0,0.32,0.32,0.64,0.32,0.32,0.96
