stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,1.07,52.42,8.56,1.07,0,4.28,0,2.14,4.28,0,0,0
21Day,0,0,2.68,0,1.34,0,1.34,0,1.34,0,0,0,0,1.34,0,1.34,2.68,1.34,0,0,0,0,73.62,1.34,4.02,0,4.02,1.34,0,0,0,0,0
3Month,0.32,0,3.52,0.32,0,0,0,0.32,1.28,0,10.88,1.28,0,2.24,0.32,0.96,1.92,2.88,1.28,0,0.32,0.32,0.64,0,6.08,0.32,0,10.56,0.32,0,0.32,1.92,0.64
22Month,0.55,0.55,2.19,0.55,0,0.55,0,0,3.28,2.19,17.49,0,1.09,4.37,0,0.55,3.83,6.01,0,1.09,0.55,1.64,4.37,0,9.29,0,0,6.01,16.4,0,0,0,1.09
