stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,8.17,16.35,0,0,0,0,0,183.89,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,33.16,2.14,0,0,0,0,0,0,0,0,3.21,10.7,1.07,16.05,0,0,0,0,54.56,54.56,0,0,10.7,0,1.07,4.28,0,0,0
21Day,5.35,0,0,4.02,72.28,1.34,0,0,1.34,1.34,0,1.34,1.34,0,0,17.4,2.68,9.37,0,0,1.34,0,6.69,16.06,0,0,6.69,6.69,0,1.34,0,0,1.34
3Month,0,0,0.64,36.15,99.5,0,0.32,0.96,3.2,0,13.76,2.24,0.32,3.2,0.96,8.64,3.52,4.8,1.28,0,0.32,2.88,5.76,0,1.28,0,0,3.52,86.39,0.64,0.64,8.32,1.28
22Month,0,1.09,1.09,13.67,38.81,0,0,1.09,4.37,2.73,50.29,0.55,2.19,6.56,0,5.47,4.92,4.92,0.55,2.73,2.73,0,0.55,0,1.09,1.09,0,0.55,25.69,0.55,0,0,1.09
