stage,Erythroid_progenitor_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,2.14,1.07,2.14,1.07
21Day,1.34,0,5.35,1.34,0,0,0,0
3Month,0,0.32,0.32,0,0,0,0,0
