stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,16.35,0,81.73,4.09,0,0,12.26,0,0,0,0,20.43,16.35,32.69,147.11,0,0,28.6,760.07,36.78,0,0,8.17,0,0,0
72hpf,4.28,0,0,2.14,2.14,0,0,0,0,0,0,0,2.14,6.42,0,16.05,0,0,11.77,43.86,6.42,0,0,0,0,0,0
21Day,2.68,0,0,4.02,21.42,5.35,0,0,0,1.34,2.68,1.34,0,0,1.34,6.69,0,0,6.69,22.76,0,0,2.68,0,0,0,1.34
3Month,0,0,0,1.6,0,0,1.6,0,8,0.32,0.32,0.32,0.32,0,0.64,1.28,0,0.32,0.64,0.64,0,7.36,0,0,1.92,1.92,1.6
22Month,0,0,0.55,0,0,0,0,0,1.64,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0
