stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,8.17,57.21,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,1.07,1.07,0,0,0,0,0,0,5.35,0,6.42,0,0,1.07,65.26,20.33,1.07,4.28,0,10.7,0,0,0,0,0,0,0
21Day,0,0,2.68,0,2.68,0,0,0,0,0,0,0,1.34,1.34,0,1.34,0,45.51,12.05,0,0,0,4.02,0,2.68,1.34,4.02,0,0,0
3Month,0,0.32,1.28,0,0,0,0,0.32,0.32,2.88,0.96,0,0.32,2.24,1.28,0.32,0,0.64,0.96,0,0.64,0,0,0.32,26.88,0,0,0.32,0.96,8
22Month,0,0,0,0,0,0.55,0.55,0.55,0,4.92,0,0,0.55,8.75,0,0,0,0.55,0,0.55,0.55,1.09,0,0,25.69,0.55,0,0.55,0,0
