stage,Epithelial_cell,Hatching_gland,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,4.09,4.09,4.09,4.09,0,24.52,0,0
72hpf,0,0,0,0,13.91,0,2.14,0
21Day,0,0,0,5.35,5.35,0,0,1.34
