stage,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell
24hpf,0,0,0,4.09,0,8.17,8.17,0,0
72hpf,3.21,0,0,0,0,0,1.07,1.07,0
21Day,0,1.34,0,0,1.34,0,1.34,0,2.68
22Month,0,0,0.55,0.55,0,0,0,0,0
