stage,Cardiomyocyte,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,36.78,0,0,0,0,0
72hpf,3.21,0,0,0,0,3.21,0,0,0,0,16.05,6.42,3.21,0,0,2.14,0
21Day,1.34,1.34,0,0,0,0,1.34,1.34,0,0,0,1.34,1.34,0,0,0,0
3Month,0,0,0.32,13.44,0.32,0,0,0,0.32,0.32,0,0,0,0.64,0.64,0,0.32
22Month,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0
