stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,4.48,3.2,0.96,0.32,0.32,199.65,1.28,22.72,0.64,0.96,1.28,0.96,0.96,0,1.92,9.28,0.64,0.64,0,2.88,0.64,0.32,1.28,1.6,0.96
22Month,0,0,0,0,0,80.9,0,1.09,0,0,0.55,0,0,0.55,0,0.55,0,0,0.55,0.55,0,0,0,0,0
