stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,4.09,24.52,0,0
72hpf,0,0,1.07,0,3.21,0,0
21Day,1.34,0,0,0,1.34,0,0
3Month,0,0.64,0,0,0,1.92,0.32
