stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,0,20.43,0,0,8.17,0,0,0,0,0
72hpf,0,0,6.42,0,0,0,0,14.98,1.07,1.07,1.07,0,0,0,0,0
21Day,1.34,0,22.76,0,0,0,1.34,12.05,1.34,0,0,1.34,0,0,0,0
3Month,0,0.32,0,0.32,0.32,1.28,0,0,0.32,0,0,0,1.6,0.32,4.16,0.32
