stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,2.14,3.21,1.07
21Day,1.34,1.34,0,0,5.35,1.34,0
22Month,0,0,7.11,0.55,0.55,0,0
