stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,20.43,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,4.09,12.26,0,0,0,4.09,12.26,167.54,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,2.14,3.21,0,0,1.07,0,23.54,13.91,4.28,10.7,0,0,2.14,0,0,1.07,0,0,0
21Day,1.34,0,5.35,0,1.34,0,0,1.34,0,0,0,6.69,0,0,2.68,4.02,0,5.35,0,0,2.68,0,5.35,12.05,8.03,5.35,1.34,1.34,8.03,1.34,1.34,1.34,0,0,0
3Month,0.32,0.96,8.64,0,0,0,3.2,2.88,0.64,0,3.84,39.67,0,1.28,0.64,1.28,2.88,15.04,0.96,0.32,0.64,1.92,0.64,0,9.6,0.32,0,4.48,2.24,0,0,0.32,2.24,6.72,0.96
22Month,0,0.55,3.28,0,0,0.55,0,0,0.55,0,6.01,10.93,1.09,1.09,0,0,0.55,7.65,0,0,0.55,0,0,0.55,8.2,0,0,2.19,3.28,1.64,0,0,0.55,0,0.55
