stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,24.52,0,0,8.17,0,0,0,0,0,0
72hpf,3.21,4.28,0,9.63,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,0,42.79,14.98,0,1.07,2.14,0,0,0,0,0,0
21Day,5.35,0,0,4.02,1.34,4.02,1.34,0,0,0,0,1.34,0,0,9.37,1.34,10.71,0,0,1.34,0,16.06,5.35,0,0,2.68,0,0,0,0,0,0
3Month,0,1.6,1.28,4.48,0,0,0,0.32,0.32,0.64,0,26.24,0.64,2.56,1.28,3.84,4.8,1.6,0,0.64,0.32,0,0.32,0.96,0,0,0.32,1.28,0.32,3.2,0.32,0
22Month,0,6.56,0,3.28,0,0,0.55,0,0,1.09,2.19,47.56,0.55,7.65,0.55,4.92,4.92,1.09,2.19,1.64,0,0.55,0,0,1.64,0,0,0.55,0,0,0,0.55
