stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,12.26,24.52,0,0,0,0,0,0,0,8.17,12.26,32.69,0,12.26,273.79,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,3.21,1.07,1.07,0,0,0,2.14,4.28,0,8.56,1.07,44.93,43.86,2.14,10.7,0,2.14,0,1.07
21Day,4.02,0,10.71,0,0,0,0,0,0,0,1.34,0,10.71,0,13.39,9.37,0,4.02,1.34,2.68,1.34,1.34
3Month,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0,0,0.55,3.83,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0
