stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,3.21,2.14,0
21Day,1.34,1.34,0,0,0,0,1.34,2.68,0,0
3Month,1.28,0,0.32,0.32,0.32,0.64,0,0,0,0.32
22Month,0,0,0,0,1.64,0,0,0,0,0
