stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.72,20.43,0,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,2.14,0,0,0,0,0,0,0,0,0,0,125.17,3.21,0,2.14,0,0,0,36.37,0
21Day,2.68,0,0,1.34,0,0,0,0,1.34,0,1.34,1.34,0,1.34,34.8,0,0,1.34,0,0,1.34,4.02,0
3Month,0,0,0.32,0,0.32,0.64,3.84,0,0,0.32,0,0,0,0,0.96,0,0,0,0.32,3.52,0,0.32,0
22Month,0,0,0,0,0,0,82.54,0.55,0,1.09,0,1.64,1.09,0,1.64,0,3.28,0,0,3.83,0,0.55,0.55
