stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,4.09,20.43,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,8.56,1.07,1.07,0,0,2.14,0,0,0,0,0,2.14,28.88,0,0,0,0,0,3.21,0,0,0,2.14,0,0,0,0,0,1.07,0,0,0
21Day,0,0,2.68,41.49,1.34,0,0,0,2.68,0,0,0,5.35,0,0,16.06,4.02,2.68,0,0,0,4.02,0,0,0,0,0,0,0,2.68,18.74,1.34,0,0,2.68
3Month,0.32,2.24,1.28,45.11,0,0,0.32,8.96,26.88,0,5.76,7.04,0.32,12.8,2.24,19.2,2.88,8.96,0.96,0.64,8.32,0.96,0,0.64,0.32,0,1.28,0.32,3.2,0,0,0,1.92,1.28,0.64
22Month,1.09,3.28,2.19,9.29,0,0,1.09,3.28,41,5.47,20.77,2.73,0.55,11.48,1.09,5.47,1.64,7.11,0.55,1.09,0,3.28,0,1.64,1.09,0,0,0,0,1.64,0,0,0.55,0,1.09
