stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,32.69,0,0,0,0,8.17,326.91,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,1.07,19.26,1.07,0,0,0,0,0,1.07,0,9.63,6.42,0,3.21,0,3.21,0,2.14,99.49,27.81,0,0,0,2.14,1.07,3.21,7.49,0,0,0,0,0
21Day,0,0,0,10.71,4.02,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,13.39,18.74,0,0,0,0,1.34,6.69,2.68,0,0,0,0,0
3Month,0.32,0.96,0.32,28.16,2.88,0,0.32,0.96,0.96,10.24,4.16,0,5.44,6.72,2.88,3.2,3.52,0.64,0,0.96,2.56,0.96,0,1.28,0,0,0.64,2.24,117.1,0.32,0,0.96,1.28,386.82,2.24
22Month,0,0,0,8.2,0.55,0,0,0,1.09,7.65,0,0,0.55,0,0,0.55,1.09,0,0,0,0.55,0,0,0.55,0.55,4.37,0,0,57.95,0,0.55,0.55,0,1.09,0
