stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,36.78,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,8.17,359.6,0,0,0,0,0,0,0,0,0,0
72hpf,22.47,2.14,0,4.28,4.28,1.07,0,0,0,0,0,0,0,0,1.07,6.42,0,7.49,0,2.14,0,120.89,22.47,0,3.21,0,0,4.28,10.7,1.07,0,0,0
21Day,57.56,1.34,2.68,44.17,1.34,2.68,0,1.34,0,0,0,0,0,0,0,40.16,0,6.69,0,5.35,0,48.19,6.69,0,5.35,2.68,0,1.34,20.08,21.42,0,0,1.34
3Month,0.32,0,0.32,14.4,0.32,0,0,3.52,1.6,0.32,10.24,0.32,0,10.24,0.64,2.88,0.32,0.96,0,1.28,1.28,0.96,0,0.64,0,0,1.28,0,0,0,0.32,3.84,1.6
22Month,0.55,0.55,1.09,7.65,0,0,0.55,1.09,6.01,0,34.99,1.64,0.55,12.03,0,3.28,2.73,3.83,0.55,4.37,0,0.55,0,1.09,0,0.55,1.09,0.55,2.73,0,0.55,0,2.19
