stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0
3Month,0.32,0.32,0.32,0.32,0,2.56,0.64,0.32,0.32,0,0.32,0,0,0.32
22Month,0,0,0,1.09,2.73,15.85,0,0,0,2.19,0,0,0.55,0
