stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,4.28,4.28,1.07,0,0,0,0,0,0,0,1.07,11.77,1.07,6.42,0,489.96,21.4,0,1.07,6.42,0,0,5.35,0,0,0,0,0,0
21Day,1.34,0,0,16.06,2.68,4.02,0,0,0,0,1.34,0,6.69,0,1.34,8.03,0,14.72,1.34,226.21,4.02,2.68,0,6.69,4.02,0,1.34,1.34,1.34,0,0,0,2.68
3Month,0,0,0,3.52,0,0,0,0.96,1.28,0,5.12,3.84,0.96,0.96,0,1.6,0.96,1.92,1.28,31.36,0.96,0,0,0.64,0,11.84,3.52,0,0,1.28,4.48,12.16,2.24
22Month,0,1.09,0.55,8.75,0,0,1.09,2.19,6.01,1.64,40.45,7.11,1.64,3.28,1.09,1.09,3.83,3.28,2.19,28.97,0,3.83,0,0,0,3.28,3.83,0,0,0,2.19,0,4.37
